headerRows,11,[change if header rows are removed or added],,,,,,,
columnName,sampleID,sampleN/Ame,material,variable1,dataFlags_variable1,notes_variable1,variable2,dataFlags_variable2,notes_variable2
unit,N/A,N/A,N/A,,N/A,N/A,,N/A,N/A
unitBasis,N/A,N/A,N/A,,N/A,N/A,,N/A,N/A
storageMethodID,N/A,N/A,N/A,,N/A,N/A,,N/A,N/A
preservationMethodID,N/A,N/A,N/A,,N/A,N/A,,N/A,N/A
preparationMethodID,N/A,N/A,N/A,,N/A,N/A,,N/A,N/A
analysisMethodID,N/A,N/A,N/A,,N/A,N/A,,N/A,N/A
analysisDetectionLimit,N/A,N/A,N/A,,N/A,N/A,,N/A,N/A
analysisPrecision,N/A,N/A,N/A,,N/A,N/A,,N/A,N/A
dataProcessingMethodID,N/A,N/A,N/A,,N/A,N/A,,N/A,N/A
dataStatus,N/A,N/A,N/A,,N/A,N/A,,N/A,N/A
startDataRows,,,,,,,,,
N/A,,,,,,,,,
N/A,,,,,,,,,
N/A,,,,,,,,,
[Fill N/A for all rows w data],,,,,,,,,
